label,en,zh-CN,zh-TW,fa,ru,es,uk,ar
more-resilient-connections,More resilient connections,更稳健的连接,更穩健的連線,اتصالات مقاوم‌تر,Более устойчивые соединения,Conexiones más resistentes,Більш надійні з'єднання,اتصالات أكثر صمودا
best-for-everyday-usage,Best for everyday usage,最适合日常使用,最適合日常使用,بهترین برای استفاده روزمره,Лучшее для повседневного использования,Mejor para uso diario,Найкраще для щоденного використання,الأفضل للاستخدام اليومي
best-for-occasional-usage,Best for occasional usage,最适合偶尔使用,最適合偶爾使用,بهترین برای استفاده گاه‌به‌گاه,Лучшее для редкого использования,Mejor para uso ocasional,Найкраще для епізодичного використання,الأفضل للاستخدام العرضي
popular,Popular,推荐,推薦,محبوب,Популярно,Popular,Популярно,شائع
per-month,per month,每月,每月,در ماه,в месяц,por mes,на місяць,شهريا
show-cny-prices,Show prices in CNY,使用人民币显示价格,使用人民幣顯示價格,نمایش قیمت‌ها به یوان,Показывать цены в юанях,Mostrar precios en CNY,Показувати ціни в юанях,إظهار الأسعار باليوان الصيني
direct-prompt-title,Before you connect…,连接之前…,連線之前…,پیش از اتصال…,Перед подключением…,Antes de conectarte…,Перед підключенням…,قبل الاتصال…
direct-prompt-question,Does your network block VPNs?,您的网络封锁 VPN 吗？,您的網路封鎖 VPN 嗎？,آیا شبکهٔ شما VPN را مسدود می‌کند؟,Ваша сеть блокирует VPN?,¿Tu red bloquea VPNs?,Ваша мережа блокує VPN?,هل تحظر شبكتك شبكات VPN؟
direct-prompt-examples,"e.g. you live in China, Iran, Russia",如中国、伊朗、俄罗斯等,如中國、伊朗、俄羅斯等,"مثلاً در چین، ایران یا روسیه","например: Китай, Иран, Россия","p. ej. China, Irán, Rusia","напр.: Китай, Іран, Росія",مثلا إذا كنت تعيش في الصين أو إيران أو روسيا
direct-prompt-yes,My network blocks VPNs,我的网络封锁 VPN,我的網路封鎖 VPN,شبکهٔ من VPN را مسدود می‌کند,Моя сеть блокирует VPN,Mi red bloquea las VPNs,Моя мережа блокує VPN,شبكتي تحظر VPN
direct-prompt-yes-sub,Hide Geph traffic from my ISP,向网络服务商隐藏迷雾通流量,向網路服務商隱藏迷霧通流量,پنهان‌سازی ترافیک Geph از ارائه‌دهندهٔ اینترنت,Скрыть трафик Geph от провайдера,Ocultar el tráfico de Geph a mi proveedor,Приховати трафік Geph від провайдера,إخفاء حركة Geph عن مزود خدمة الإنترنت
direct-prompt-no,My network allows VPNs,我的网络允许 VPN,我的網路允許 VPN,شبکهٔ من VPN را مجاز می‌داند,Моя сеть разрешает VPN,Mi red permite las VPNs,Моя мережа дозволяє VPN,شبكتي تسمح بـ VPN
direct-prompt-no-sub,Connect faster,连接更快,連線更快,اتصال سریع‌تر,Подключаться быстрее,Conectar más rápido,Підключатися швидше,اتصال أسرع
direct-prompt-footer,"You can change this later in Settings → ""Allow direct connections"".","之后可在「设置 → 允许直连」中更改。","之後可在「設定 → 允許直連」中變更。","می‌توانید بعداً از مسیر «تنظیمات ← اجازهٔ اتصال مستقیم» تغییر دهید.","Это можно изменить позже в «Настройки → Разрешить прямые подключения».","Puedes cambiarlo después en «Ajustes → Permitir conexiones directas».","Це можна змінити пізніше в «Налаштування → Дозволити прямі підключення».","يمكنك تغيير ذلك لاحقا من الإعدادات ← ""السماح بالاتصالات المباشرة""."
disconnect-first-title,Disconnect first,请先断开连接,請先中斷連線,ابتدا قطع کنید,Сначала отключитесь,Desconéctate primero,Спочатку від'єднайтеся,افصل الاتصال أولا
disconnect-first-body,"You need to disconnect before changing the server. Tap Disconnect, then pick a new location.","更改服务器之前需要先断开连接。请点击“断开连接”，然后选择新的位置。","更改伺服器之前需要先中斷連線。請點選「中斷連線」，然後選擇新的位置。","قبل از تغییر سرور باید اتصال را قطع کنید. روی «قطع اتصال» بزنید و سپس مکان جدیدی انتخاب کنید.","Перед сменой сервера нужно отключиться. Нажмите «Отключить», затем выберите новую локацию.","Debes desconectarte antes de cambiar de servidor. Toca Desconectar y luego elige una nueva ubicación.","Перед зміною сервера потрібно від'єднатися. Натисніть «Від'єднати», а потім виберіть нове розташування.",يجب قطع الاتصال قبل تغيير الخادم. اضغط قطع الاتصال، ثم اختر موقعا جديدا.
proxy-mode,Local proxy,本地代理,本地代理,پروکسی محلی,Локальный прокси,Proxy local,Локальний проксі,وكيل محلي
proxy-mode-blurb,Expose Geph as SOCKS5/HTTP proxies,以 SOCKS5/HTTP 代理方式提供迷雾通,以 SOCKS5/HTTP 代理方式提供迷霧通,Geph را به صورت پروکسی SOCKS5/HTTP ارائه می‌دهد,Предоставляет Geph как прокси SOCKS5/HTTP,Expone Geph como proxies SOCKS5/HTTP,Надає Geph як проксі SOCKS5/HTTP,يوفر Geph كوكيل SOCKS5/HTTP
socks5-port,SOCKS5 port,SOCKS5 端口,SOCKS5 埠,پورت SOCKS5,Порт SOCKS5,Puerto SOCKS5,Порт SOCKS5,منفذ SOCKS5
http-proxy-port,HTTP proxy port,HTTP 代理端口,HTTP 代理埠,پورت پروکسی HTTP,Порт HTTP-прокси,Puerto del proxy HTTP,Порт HTTP-проксі,منفذ وكيل HTTP
lan-addresses,LAN addresses,局域网地址,區域網位址,آدرس‌های شبکه محلی,Адреса в локальной сети,Direcciones LAN,Адреси локальної мережі,عناوين الشبكة المحلية
